DATE,age,bmr,body_fat,date_join,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,gender,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight,date,tempmean,tempmax,tempmin,precip,snow,location
20130524,30.189041095890413,1937.1319796027399,0.0,20130524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,11238.0,1252.08900456,18922.0,22140.0,3015.0,10260.0,22468.0,3189.22098416274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,5202.0,24198.0,2.0,-402.0,1.0,9420.0,20760.0,11340.0,67.0,0.0,86.1825,20130524,55,65,45,0.3,0.0,knyc-central park
20130525,30.19178082191781,1937.1134727534247,0.0,20130525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,10056.0,1185.527006,17200.0,21540.0,2883.0,7320.0,20029.0,3122.640478753425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13919.0,3372.0,34511.0,1.0,13211.0,1.0,7861.0,19597.0,11736.0,56.0,0.0,86.1825,20130525,50,54,45,0.14,0.0,knyc-central park
20130526,30.194520547945213,1937.0949659041096,0.0,20130526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,10406.0,969.306005895,15555.0,26160.0,2129.0,12300.0,19743.0,2906.400971799109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1825,20130526,57,66,48,0.0,0.0,knyc-central park
20130527,30.197260273972606,1937.0764590547947,0.0,20130527,360.0,674.0,80.1,278.0,2.0,3.4,33.04,9.511000000000001,1752.0,10.97,12.142000000000001,0,1.778,10466.0,833.00601463,13819.0,19980.0,3804.0,8040.0,18431.0,2770.0824736847944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6359.0,4819.0,35920.0,2.0,4120.0,1.0,10502.0,27961.0,17459.0,80.0,0.0,86.1825,20130527,62,73,51,0.0,0.0,knyc-central park
20130528,30.2,1937.0579522054795,0.0,20130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4936.0,429.179001495,7172.0,30060.0,648.0,7020.0,9174.0,2366.23695370048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.0,9044.0,25216.0,2.0,2416.0,1.0,7440.0,15780.0,8340.0,51.0,0.0,86.1825,20130528,62,68,56,0.52,0.0,knyc-central park
20130529,30.2027397260274,1937.0394453561646,0.0,20130529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4884.0,422.604003668,6954.0,28860.0,696.0,9600.0,9006.0,2359.6434490241645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5519.0,5344.0,27168.0,1.0,2868.0,1.0,3480.0,21171.0,17691.0,54.0,0.0,86.1825,20130529,70,82,58,0.0,0.0,knyc-central park
20130530,30.2054794520548,1937.0209385068488,0.0,20130530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5218.0,628.622000769,9237.0,28140.0,2084.0,9420.0,10635.0,2565.642939275849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.0,8363.0,33445.0,3.0,-3455.0,1.0,9300.0,30352.0,21052.0,88.0,0.0,86.1825,20130530,81,90,72,0.0,0.0,knyc-central park
20130531,30.20821917808219,1937.0024316575345,0.0,20130531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,9045.0,1054.3850036000001,15513.0,24480.0,2313.0,6120.0,18102.0,2991.387435257534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,5404.0,25107.0,3.0,207.0,1.0,6421.0,20161.0,13740.0,58.0,0.0,86.1825,20130531,83,90,75,0.0,0.0,knyc-central park
20130601,30.21095890410959,1936.9839248082194,0.0,20130601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,2937.0,247.37100212299998,3971.0,26940.0,738.0,7320.0,5210.0,2184.3549269312193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4680.0,0.0,33480.0,0.0,4680.0,1.0,0.0,28800.0,0.0,0.0,0.0,86.1825,20130601,82,90,73,0.0,0.0,knyc-central park
20130602,30.213698630136985,1936.965417958904,0.0,20130602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,7487.0,587.8340088580001,10095.0,24000.0,1753.0,5100.0,13344.0,2524.799426816904,0.0,0.0,45659.0,383.0,47077.0,0.0,45277.0,1.0,780.0,1572.0,792.0,3.0,0.0,1.0,40.0,1320.0,4676.0,32347.0,2.0,-1553.0,1.0,9239.0,29458.0,20219.0,82.0,0.0,86.1825,20130602,79,88,69,0.85,0.0,knyc-central park
